url,title,city,district,ward_commune,street,area,bed,toilet,legal_status,furniture,price
https://batdongsan.com.vn//ban-nha-rieng-duong-hoang-sa-phuong-5-17/chi-4-5-ty-tl-moi-3-tang-dtsd-80m2-xe-tai-7m-tan-binh-view-bo-kenh-3wc-may-lanh-pr38743531,"Chỉ 4,5 tỷ TL nhà mới 3 tầng DTSD 80m2 đường xe tải 7m Hoàng Sa Tân Bình view bờ kênh 3WC máy lạnh",,,,,25 m²,2,3,Sổ đỏ/ Sổ hồng,Cơ bản,"4,5"
https://batdongsan.com.vn//ban-nha-rieng-duong-nguyen-anh-thu-phuong-hiep-thanh-3/ban-cuc-dep-khu-trung-tam-thuan-tien-giao-thong-pr37942526,Bán nhà cực đẹp - khu trung tâm - thuận tiện giao thông,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Đường Nguyễn Ảnh Thủ,60 m²,4,3,Sổ đỏ/ Sổ hồng,Cơ bản,"3,26"
https://batdongsan.com.vn//ban-nha-rieng-duong-tan-ky-tan-quy-phuong-binh-hung-hoa-a/-75m2-5x15-gan-aeon-phu-2-g-1-quy-pr38742943,Nhà 75m2 (5x15m) gần Aeon Tân Phú - 2 tầng - đường 1/ Tân Kỳ Tân Quý,,,,,75 m²,2,2,SỔ HỒNG RIÊNG.,NỘI THẤT CƠ BẢN,"4,8"
https://batdongsan.com.vn//ban-nha-rieng-duong-bui-van-ba-phuong-tan-thuan-dong-1/ve-que-song-n-gap-62m2-chi-4t3-san-tien-11tr-thang-q7-pr38713707,"Về quê bán gấp nhà HXH Bùi Văn Ba, Q7, 62m2, 5 phòng trọ, 11 tr/tháng, chỉ 4 tỷ 3",,,,,62 m²,5,5,Sổ đỏ/ Sổ hồng.,Cơ bản.,"4,3"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-pham-van-hai-phuong-3-22-prj-central-plaza-91-pham-van-hai/-ban-q-tan-binh-dt-60m-2pn-2wc-gia-3-4-ty-so-ng-lh-tin-that-pr38033798,"Cần bán căn hộ chung cư Central Plaza, Quận. Tân Bình diện tích: 84m 3PN, 2WC. Giá 4.4 tỷ (Sổ Hồng)",,,,,84 m²,3,2,Sổ đỏ/ Sổ hồng.,Cơ bản.,"4,4"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-n1-phuong-son-ky-prj-celadon-city/-ban-ruby-co-so-ng-full-nt-gia-3-ty-pr38742909,"Cần bán căn hộ Ruby - có sổ hồng, full NT, giá 3 tỷ",Hồ Chí Minh,Tân Phú,Phường Sơn Kỳ,Đường N1,82 m²,3,2,Sổ đỏ/ Sổ hồng,Đầy đủ,3
https://batdongsan.com.vn//ban-nha-rieng-duong-cao-thang-phuong-12-5/chu-ngop-tien-ngan-hang-ban-gap-can-quan10-60m2-3-55-ty-3-lau-shr-pr38731831,"Chủ ngộp tiền ngân hàng bán gấp căn nhà Cao Thắng, Quận 10, 3.55 tỷ, 60m2, 2 lầu, SHR",,,,,60 m²,3,2,Sổ đỏ/ Sổ hồng,Cơ bản,"3,55"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-nguyen-huu-canh-phuong-22-prj-sunwah-pearl/ban-nhanh-1pn-dien-tich-55m2-nha-rat-sach-va-mat-gia-4-95-ty-bao-het-pr38732161,"Bán nhanh căn hộ 1PN Sunwah Pearl, diện tích 55m2, nhà rất sạch và mát, giá 4.95 tỷ bao hết",,,,,55 m²,1,1,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,95"
https://batdongsan.com.vn//ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/-tien-ban-gap-1pn-view-song-gia-tot-nhat-thi-truong-pr38741321,Cần tiền bán gấp căn 1PN view sông giá tốt nhất thị trường,,,,,47 m²,1,1,Hợp đồng mua bán,Cơ bản,"4,5"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-pho-quang-phuong-2-22-prj-sky-center/-ban-gap-dt-74m2-2pn-gia-3-7-ty-tro-nh-lh-0907-709-711-pr33887414,"Cần bán gấp căn hộ Sky Center, DT 74m2, 2PN, giá 3.7 tỷ (Hỗ trợ NH). LH 0907 709 ***",,,,,74 m²,2,1,Hợp đồng mua bán,Cơ bản,"3,7"
